formula,Tc,composition,category,is_superconductor,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,transition metal fraction,formula_original,requires_high_pressure,has_cuprate_elements,cu_o_ratio,has_iron_pnictide,has_mgb2_elements,hydrogen_fraction,transition_metal_count
Ba(3/5)CuOY(2/5),90.0,Ba0.6 Y0.4 Cu1 O1,Cuprates,1,4.0,0.529150262212918,0.4387229576827596,0.3862111823216972,0.368803898039202,0.3573675521850245,8.0,56.0,48.0,28.733333333333334,13.822222222222223,8.0,9.0,87.0,78.0,53.73333333333333,29.022222222222226,64.0,15.9994,137.327,121.3276,65.83464666666667,34.74926222222222,15.9994,54.8,1799.0,1744.2,910.7233333333334,570.6155555555556,54.8,2.0,16.0,14.0,9.799999999999999,4.933333333333334,11.0,2.0,6.0,4.0,3.8666666666666667,1.2444444444444445,2.0,66.0,215.0,149.0,134.33333333333334,47.111111111111114,66.0,0.89,3.44,2.55,2.1206666666666667,0.8795555555555555,1.9,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,3.466666666666667,4.355555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,6.466666666666666,3.022222222222222,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,9.0,9.0,1.2,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.1999999999999997,1.8133333333333332,1.0,9.105,63.59,54.485,23.758333333333336,18.227777777777778,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,150.66666666666666,92.44444444444446,12.0,1.6666666666666667,1.3333333333333333,3.466666666666667,0.0,False,0.0,0.0,0.3333333333333333,Ba0.6CuOY0.4,0,1,1.0,0,0,0.0,2
Ba(1/2)CuEr(1/2)O,92.0,Ba0.5 Er0.5 Cu1 O1,Cuprates,1,4.0,0.5270462766947299,0.4367902323681494,0.3852632081216715,0.3684392168216066,0.3572926939821315,8.0,68.0,60.0,33.0,19.333333333333332,8.0,9.0,87.0,78.0,57.666666666666664,23.777777777777782,64.0,15.9994,167.259,151.25959999999998,77.27946666666666,50.00902222222222,15.9994,54.8,1770.0,1715.2,932.5233333333334,585.1488888888889,54.8,2.0,16.0,14.0,9.833333333333334,4.888888888888888,11.0,2.0,6.0,4.0,4.0,1.3333333333333333,2.0,66.0,215.0,149.0,133.33333333333334,45.77777777777778,66.0,0.89,3.44,2.55,2.135,0.87,1.9,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,12.0,12.0,2.0,3.3333333333333335,0.0,2.0,14.0,12.0,8.333333333333334,3.6666666666666665,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.3333333333333333,0.5555555555555555,0.0,0.0,2.0,2.0,1.3333333333333333,0.6666666666666666,1.0,9.105,63.59,54.485,22.420833333333334,16.444444444444443,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,149.5,91.66666666666667,12.0,1.6666666666666667,1.3333333333333333,3.3333333333333335,2.0,False,0.0,0.0,0.3333333333333333,Ba0.5CuEr0.5O,0,1,1.0,0,0,0.0,1
Ba(13/20)CuOTm(7/20),93.2,Ba0.65 Tm0.35 Cu1 O1,Cuprates,1,4.0,0.5317685377847939,0.44111516940565626,0.3874345937334994,0.36932175621717667,0.35749806878764084,8.0,69.0,61.0,32.516666666666666,18.688888888888886,8.0,9.0,87.0,78.0,56.6,25.2,64.0,15.9994,168.93421,152.93481,75.97830783333333,48.27414377777777,15.9994,54.8,1818.0,1763.2,899.6233333333333,563.2155555555555,54.8,2.0,16.0,14.0,9.783333333333333,4.955555555555556,11.0,2.0,6.0,4.0,4.0,1.3333333333333333,2.0,66.0,215.0,149.0,134.75,47.666666666666664,66.0,0.89,3.44,2.55,2.1186666666666665,0.8808888888888888,1.9,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,13.0,13.0,1.5166666666666666,2.6794444444444445,0.0,2.0,15.0,13.0,7.8500000000000005,3.768333333333333,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11666666666666665,0.2061111111111111,0.0,0.0,2.0,2.0,1.1166666666666667,0.5888888888888889,1.0,9.105,63.59,54.485,23.977166666666665,18.51955555555556,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,151.25,92.83333333333333,12.0,1.6666666666666667,1.3333333333333333,3.3333333333333335,1.5166666666666666,False,0.0,0.0,0.3333333333333333,Ba0.65CuOTm0.35,0,1,1.0,0,0,0.0,1
Ba(7/10)CuOTm(3/10),94.4,Ba0.7 Tm0.3 Cu1 O1,Cuprates,1,4.0,0.5354126134736337,0.4444212950905589,0.3892160163585556,0.37016304952141765,0.35775932888506745,8.0,69.0,61.0,32.3,18.4,8.0,9.0,87.0,78.0,56.13333333333333,25.822222222222223,64.0,15.9994,168.93421,152.93481,75.451521,47.571761333333335,15.9994,54.8,1818.0,1763.2,885.9900000000001,554.1266666666667,54.8,2.0,16.0,14.0,9.766666666666667,4.977777777777777,11.0,2.0,6.0,4.0,4.0,1.3333333333333333,2.0,66.0,215.0,149.0,135.16666666666666,48.22222222222222,66.0,0.89,3.44,2.55,2.1126666666666662,0.8848888888888887,1.9,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,13.0,13.0,1.3,2.34,0.0,2.0,15.0,13.0,7.633333333333333,3.7177777777777776,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.09999999999999999,0.18000000000000002,0.0,0.0,2.0,2.0,1.0999999999999999,0.6,1.0,9.105,63.59,54.485,24.540666666666667,19.270888888888887,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,151.83333333333334,93.22222222222221,12.0,1.6666666666666667,1.3333333333333333,3.3333333333333335,1.3,False,0.0,0.0,0.3333333333333333,Ba0.7CuOTm0.3,0,1,1.0,0,0,0.0,1
Ba(3/4)CuOTm(1/4),93.2,Ba0.75 Tm0.25 Cu1 O1,Cuprates,1,4.0,0.5400617248673216,0.44860105100727365,0.39161712664991,0.3714439481694873,0.3582512368066306,8.0,69.0,61.0,32.083333333333336,18.11111111111111,8.0,9.0,87.0,78.0,55.666666666666664,26.444444444444446,64.0,15.9994,168.93421,152.93481,74.92473416666667,46.86937888888889,15.9994,54.8,1818.0,1763.2,872.3566666666667,545.0377777777777,54.8,2.0,16.0,14.0,9.75,5.0,11.0,2.0,6.0,4.0,4.0,1.3333333333333333,2.0,66.0,215.0,149.0,135.58333333333334,48.77777777777778,66.0,0.89,3.44,2.55,2.106666666666667,0.888888888888889,1.9,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,13.0,13.0,1.0833333333333333,1.986111111111111,0.0,2.0,15.0,13.0,7.416666666666667,3.6527777777777772,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08333333333333333,0.15277777777777776,0.0,0.0,2.0,2.0,1.0833333333333333,0.611111111111111,1.0,9.105,63.59,54.485,25.10416666666667,20.022222222222226,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,152.41666666666666,93.61111111111113,12.0,1.6666666666666667,1.3333333333333333,3.3333333333333335,1.0833333333333333,False,0.0,0.0,0.3333333333333333,Ba0.75CuOTm0.25,0,1,1.0,0,0,0.0,1
Ba(4/5)CuOTm(1/5),80.5,Ba0.8 Tm0.2 Cu1 O1,Cuprates,1,4.0,0.5456901847914967,0.45360614106355784,0.39470746527604206,0.3733103278492746,0.35913101496029665,8.0,69.0,61.0,31.86666666666667,17.822222222222223,8.0,9.0,87.0,78.0,55.199999999999996,27.066666666666674,64.0,15.9994,168.93421,152.93481,74.39794733333333,46.16699644444444,15.9994,54.8,1818.0,1763.2,858.7233333333334,535.948888888889,54.8,2.0,16.0,14.0,9.733333333333333,5.022222222222223,11.0,2.0,6.0,4.0,4.0,1.3333333333333333,2.0,66.0,215.0,149.0,136.0,49.333333333333336,66.0,0.89,3.44,2.55,2.1006666666666667,0.8928888888888888,1.9,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,13.0,13.0,0.8666666666666667,1.6177777777777778,0.0,2.0,15.0,13.0,7.2,3.573333333333333,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06666666666666667,0.12444444444444445,0.0,0.0,2.0,2.0,1.0666666666666667,0.6222222222222222,1.0,9.105,63.59,54.485,25.667666666666673,20.773555555555557,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,153.0,94.0,12.0,1.6666666666666667,1.3333333333333333,3.3333333333333335,0.8666666666666667,False,0.0,0.0,0.3333333333333333,Ba0.8CuOTm0.2,0,1,1.0,0,0,0.0,1
Ba(3/5)CuNd(2/5)O,85.0,Ba0.6 Nd0.4 Cu1 O1,Cuprates,1,4.0,0.529150262212918,0.4387229576827596,0.3862111823216972,0.368803898039202,0.3573675521850245,8.0,60.0,52.0,31.53333333333333,17.377777777777776,8.0,9.0,87.0,78.0,54.666666666666664,27.777777777777782,64.0,15.9994,144.242,128.24259999999998,73.2128,44.586800000000004,15.9994,54.8,1357.77,1302.97,843.39,525.7266666666667,54.8,2.0,16.0,14.0,9.799999999999999,4.933333333333334,11.0,2.0,6.0,4.0,4.0,1.3333333333333333,2.0,66.0,215.0,149.0,135.79999999999998,49.06666666666666,66.0,0.89,3.44,2.55,2.11,0.8866666666666667,1.9,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,4.0,4.0,0.5333333333333333,0.9244444444444445,0.0,2.0,11.0,9.0,6.866666666666667,2.755555555555556,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.3333333333333333,2.311111111111111,0.0,0.0,10.0,10.0,2.3333333333333335,2.0444444444444447,1.0,9.105,63.59,54.485,24.084333333333333,18.662444444444446,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,150.66666666666666,92.44444444444446,12.0,1.6666666666666667,1.3333333333333333,3.3333333333333335,0.5333333333333333,False,0.0,0.0,0.3333333333333333,Ba0.6CuNd0.4O,0,1,1.0,0,0,0.0,1
Ba3Cu5Nd2O,18.0,Ba3 Nd2 Cu5 O1,Cuprates,1,4.0,0.5677270907634907,0.4945565295831634,0.4623050539795367,0.4564464242919134,0.4548243006723547,8.0,60.0,52.0,40.09090909090909,15.917355371900827,29.0,9.0,87.0,78.0,42.90909090909091,27.190082644628102,64.0,15.9994,144.242,128.24259999999998,94.01767272727271,41.88666115702479,63.546,54.8,1357.77,1302.97,1130.1499999999999,266.50909090909096,1357.77,2.0,16.0,14.0,7.545454545454546,4.677685950413223,11.0,2.0,6.0,4.0,4.7272727272727275,1.1570247933884297,4.0,66.0,215.0,149.0,161.1818181818182,43.83471074380165,132.0,0.89,3.44,2.55,1.6263636363636365,0.5785123966942148,1.9,1.0,2.0,1.0,1.5454545454545454,0.4958677685950414,1.0,0.0,4.0,4.0,0.36363636363636365,0.6611570247933884,0.0,0.0,10.0,10.0,4.545454545454546,4.958677685950414,10.0,0.0,4.0,4.0,0.7272727272727273,1.190082644628099,0.0,2.0,11.0,9.0,7.181818181818182,3.4710743801652892,11.0,0.0,1.0,1.0,0.45454545454545453,0.4958677685950413,1.0,0.0,2.0,2.0,0.18181818181818182,0.3305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.8181818181818181,2.975206611570248,0.0,0.0,10.0,10.0,2.4545454545454546,2.7438016528925617,1.0,9.105,63.59,54.485,29.53136363636364,20.496942148760333,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,201.0909090909091,36.95867768595041,225.0,1.5454545454545454,0.36363636363636365,4.545454545454546,0.7272727272727273,False,0.8032113561415081,0.09030774403031838,0.45454545454545453,Ba3Cu5Nd2O,0,1,5.0,0,0,0.0,1
Ba3Cu5Gd2O,40.0,Ba3 Gd2 Cu5 O1,Cuprates,1,4.0,0.5677270907634907,0.4945565295831634,0.4623050539795367,0.4564464242919134,0.4548243006723547,8.0,64.0,56.0,40.81818181818182,16.710743801652892,29.0,9.0,87.0,78.0,44.36363636363637,25.603305785123965,64.0,15.9994,157.25,141.2506,96.38276363636363,44.46676033057851,63.546,54.8,1586.0,1531.2,1183.240909090909,305.12066115702476,1357.77,2.0,16.0,14.0,7.545454545454546,4.677685950413223,11.0,2.0,6.0,4.0,4.7272727272727275,1.1570247933884297,4.0,66.0,215.0,149.0,160.27272727272728,42.84297520661157,132.0,0.89,3.44,2.55,1.6372727272727274,0.5666115702479338,1.9,1.0,2.0,1.0,1.5454545454545454,0.4958677685950414,1.0,0.0,4.0,4.0,0.36363636363636365,0.6611570247933884,0.0,0.0,10.0,10.0,4.7272727272727275,4.793388429752066,10.0,0.0,7.0,7.0,1.2727272727272727,2.0826446280991737,0.0,2.0,11.0,9.0,7.909090909090909,3.5702479338842967,11.0,0.0,1.0,1.0,0.45454545454545453,0.4958677685950413,1.0,0.0,2.0,2.0,0.18181818181818182,0.3305785123966942,0.0,0.0,9.0,9.0,1.6363636363636365,2.6776859504132235,0.0,0.0,7.0,7.0,1.2727272727272727,2.0826446280991737,0.0,0.0,16.0,16.0,3.5454545454545454,4.528925619834711,1.0,9.105,63.59,54.485,29.02954545454546,19.94950413223141,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,201.0909090909091,36.95867768595041,225.0,1.5454545454545454,0.36363636363636365,4.7272727272727275,1.2727272727272727,False,0.8032113561415081,0.0888218686816093,0.45454545454545453,Ba3Cu5Gd2O,0,1,5.0,0,0,0.0,1
Ba(6/5)CuOY(4/5),94.0,Ba1.2 Y0.8 Cu1 O1,Cuprates,1,4.0,0.5049752469181039,0.4046336167283228,0.34235549609557614,0.3213106444521768,0.30891796405785127,8.0,56.0,48.0,33.85,15.35,56.0,9.0,87.0,78.0,42.85,32.65,9.0,15.9994,137.327,121.3276,78.86561999999999,39.09292,137.327,54.8,1799.0,1744.2,1012.9425,486.83675,1000.0,2.0,16.0,14.0,7.95,5.55,2.0,2.0,6.0,4.0,4.3,1.2999999999999998,6.0,66.0,215.0,149.0,152.0,53.0,215.0,0.89,3.44,2.55,1.846,0.824,0.89,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,1.0,1.5,0.0,0.0,10.0,10.0,2.7,3.6500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,5.45,3.05,2.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,2.0,2.0,0.5,0.75,0.0,0.0,9.0,9.0,1.8,2.8800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.55,2.58,0.0,9.105,63.59,54.485,30.593750000000004,20.50625,63.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,166.75,77.375,229.0,1.75,1.0,2.7,0.0,False,0.0,0.0,0.25,Ba1.2CuOY0.8,0,1,1.0,0,0,0.0,2
Ba(9/10)CuOY(3/5),88.0,Ba0.9 Y0.6 Cu1 O1,Cuprates,1,4.0,0.5086998232789959,0.40953754450143764,0.3476780388612228,0.3257890194113714,0.3112619086344019,8.0,56.0,48.0,31.657142857142855,15.03673469387755,8.0,9.0,87.0,78.0,47.51428571428572,31.983673469387753,64.0,15.9994,137.327,121.3276,73.28091714285713,38.295105306122444,15.9994,54.8,1799.0,1744.2,969.1342857142857,522.4767346938776,54.8,2.0,16.0,14.0,8.742857142857144,5.436734693877551,11.0,2.0,6.0,4.0,4.114285714285715,1.273469387755102,2.0,66.0,215.0,149.0,144.42857142857142,51.91836734693878,66.0,0.89,3.44,2.55,1.9637142857142855,0.8435918367346937,1.9,1.0,2.0,1.0,1.7142857142857142,0.40816326530612246,1.0,0.0,4.0,4.0,1.1428571428571428,1.6326530612244896,0.0,0.0,10.0,10.0,3.0285714285714285,3.9836734693877554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,5.885714285714286,2.987755102040816,6.0,0.0,1.0,1.0,0.2857142857142857,0.4081632653061224,0.0,0.0,2.0,2.0,0.5714285714285714,0.8163265306122448,0.0,0.0,9.0,9.0,1.5428571428571427,2.556734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.3999999999999995,2.2628571428571425,1.0,9.105,63.59,54.485,27.664285714285715,20.087755102040823,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,159.85714285714286,84.48979591836734,12.0,1.7142857142857142,1.1428571428571428,3.0285714285714285,0.0,False,0.0,0.0,0.2857142857142857,Ba0.9CuOY0.6,0,1,1.0,0,0,0.0,2
BiCuOSr,6.5,Sr1 Cu1 Bi1 O1,Bismuthates,1,4.0,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,8.0,83.0,75.0,39.5,21.75,8.0,8.0,87.0,79.0,61.25,26.625,8.0,15.9994,208.9804,192.981,94.03645,57.471975,15.9994,54.8,1357.77,1302.97,751.7425000000001,452.14250000000004,54.8,2.0,16.0,14.0,11.0,4.5,2.0,2.0,6.0,4.0,4.25,1.25,2.0,66.0,195.0,129.0,135.25,36.25,66.0,0.95,3.44,2.49,2.0774999999999997,0.6812499999999999,0.95,1.0,2.0,1.0,1.75,0.375,1.0,0.0,4.0,4.0,1.75,1.75,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,14.0,14.0,3.5,5.25,0.0,2.0,29.0,27.0,12.0,8.5,2.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,3.0,3.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,1.0,0.0,9.105,54.23,45.125,26.83875,16.75125,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,1.75,1.75,5.0,3.5,False,0.7877573323062756,0.13034180736939321,0.25,BiCuOSr,0,1,1.0,0,0,0.0,1
BaCa2Cu3OTl2,110.0,Ba1 Ca2 Tl2 Cu3 O1,Cuprates,1,5.0,0.4843221048378526,0.3952103671655625,0.3497431251996542,0.338686064942786,0.33447287312291585,8.0,81.0,73.0,39.22222222222222,22.296296296296294,29.0,7.0,87.0,80.0,50.44444444444444,28.51851851851852,64.0,15.9994,204.3833,188.38389999999998,92.543,59.65879999999999,63.546,54.8,1357.77,1302.97,945.7899999999998,361.9044444444445,1357.77,2.0,16.0,14.0,9.0,4.666666666666667,11.0,2.0,6.0,4.0,4.444444444444445,1.0370370370370372,4.0,66.0,215.0,149.0,146.55555555555554,28.29629629629629,132.0,0.89,3.44,2.55,1.6966666666666663,0.5229629629629629,1.9,1.0,2.0,1.0,1.6666666666666667,0.44444444444444436,1.0,0.0,4.0,4.0,0.6666666666666666,0.8888888888888888,0.0,0.0,10.0,10.0,5.555555555555555,4.938271604938272,10.0,0.0,14.0,14.0,3.111111111111111,4.839506172839506,0.0,2.0,27.0,25.0,11.0,7.111111111111111,11.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.0,5.0,5.0,1.3333333333333333,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.6666666666666667,1.5555555555555556,1.0,9.105,63.59,54.485,26.140555555555558,13.832716049382718,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,194.88888888888889,41.03703703703704,225.0,1.6666666666666667,0.6666666666666666,5.555555555555555,3.111111111111111,False,0.8032113561415081,0.09053676026130227,0.3333333333333333,BaCa2Cu3OTl2,0,1,3.0,0,0,0.0,1
Ba(9/5)Cu3GdOSr(1/5),94.7,Ba1.8 Sr0.2 Gd1 Cu3 O1,Cuprates,1,5.0,0.5398412465054624,0.4665820304917258,0.4357009646543751,0.4303197693387774,0.4288313106007632,8.0,64.0,56.0,38.199999999999996,16.525714285714283,29.0,8.0,87.0,79.0,46.25714285714286,26.848979591836734,64.0,15.9994,157.25,141.2506,89.8,43.713885714285716,63.546,54.8,1586.0,1531.2,1103.4442857142856,355.8665306122449,1357.77,2.0,16.0,14.0,8.0,4.857142857142857,11.0,2.0,6.0,4.0,4.542857142857143,1.1918367346938774,4.0,66.0,215.0,149.0,154.85714285714286,44.9795918367347,132.0,0.89,3.44,2.55,1.733142857142857,0.6306938775510204,1.9,1.0,2.0,1.0,1.5714285714285714,0.489795918367347,1.0,0.0,4.0,4.0,0.5714285714285714,0.979591836734694,0.0,0.0,10.0,10.0,4.428571428571429,4.775510204081633,10.0,0.0,7.0,7.0,1.0,1.7142857142857142,0.0,2.0,11.0,9.0,7.571428571428571,3.6326530612244903,11.0,0.0,1.0,1.0,0.42857142857142855,0.4897959183673469,1.0,0.0,2.0,2.0,0.2857142857142857,0.489795918367347,0.0,0.0,9.0,9.0,1.2857142857142858,2.2040816326530615,0.0,0.0,7.0,7.0,1.0,1.7142857142857142,0.0,0.0,16.0,16.0,3.0,3.7142857142857144,1.0,9.105,63.59,54.485,28.524714285714285,20.509673469387756,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,191.17142857142858,51.19183673469387,225.0,1.5714285714285714,0.5714285714285714,4.428571428571429,1.0,False,0.0,0.0,0.42857142857142855,Ba1.8Cu3GdOSr0.2,0,1,3.0,0,0,0.0,1
